等級,名稱,分類,類型,材料,能力,說明,販店價,image
8,博流蓋爾頭盔,頭盔,頭部防具,幻之鋼條(5)、幻之銀條(5)、絹布(5)、朴(20)、誓言之證(5),防禦+65 命中-5 閃躲+25 抗魔+10,有羽毛裝飾的鐵製的頭盔。,1600,/img/防具/博流蓋爾頭盔.gif
8,鉚釘頭盔,頭盔,頭部防具,鐵條(10)、幻之銀條(5)、莎蓮娜線(5)、杉(20),防禦+71~+94 抗魔+32~+48,用鐵板與圖釘裝飾的頭盔。,1600,/img/防具/鉚釘頭盔.gif
8,鋼製頭盔+,頭盔,頭部防具,幻之鋼條(7)、幻之銀條(5)、杉(20)、永久冰石(20)、藍龍之鱗(20),防禦+65~+85 閃躲+1~+5 命中-1 抗魔+16~+32 耐久300~+350 生產系晉升任務Ⅲ,頭頂部與頭部後面受保護的鋼製頭盔。,1550,/img/防具/鋼製頭盔.gif
8,可愛的扁帽子+,帽子,頭部防具,百里香(20)、瞿麥(20)、火的水晶碎片(10)、魔法紅蘿蔔(20)、藍龍之鱗(20),防禦+38~+45 命中+5 閃躲+1~+3 耐久250~+300 生產系晉升任務Ⅲ,法蘭選美會推薦的帽子。,1000,/img/防具/可愛的扁帽子.gif
8,時髦避暑帽,帽子,頭部防具,番紅花(20)、瞿麥(20)、傑諾瓦線(10)、德特家的布(1),防禦+32~+46 命中+5 抗石+5 抗混+5,用漂亮的線織成的時髦帽子。,1100,/img/防具/時髦避暑帽.gif
8,軍帽,帽子,頭部防具,瞿麥(20)、棉(5)、細線(5)、莎蓮娜線(10),防禦+42~+57 命中+5,有金色花樣的氣派帽子。,1100,/img/防具/軍帽.gif
8,頭目帽子,帽子,頭部防具,破爛的帽子(2)、鋼騎之礦(3)、魔族的水晶(3)、香草(20),防禦+56 命中+5 閃躲+3 耐久200 偷竊所需消耗魔力減少50% 稱號：卡拉班一家,頭目外出時所戴的帽子。,1100,/img/防具/頭目帽子.gif
8,實戰鎧甲+,鎧甲,身體防具,幻之銀條(15)、幻之鋼條(13)、朴(10)、永久冰石(20)、藍龍之鱗(20),防禦+115~+155 閃躲-5~-10 敏捷-5~-10 抗魔+24~+40 耐久280~+350 生產系晉升任務Ⅲ,重視實戰的全身盔甲。,1800,/img/防具/實戰鎧甲.gif
8,重金屬鎧甲,鎧甲,身體防具,鐵條(20)、幻之鋼條(10)、幻之銀條(10),防禦+126~+179 閃躲-10 抗魔+48~+64,全身用金屬包起來的強固盔甲。,1900,/img/防具/重金屬鎧甲.gif
8,野獸之鎧,鎧甲,身體防具,銀條(15)、幻之鋼條(20)、赤松(20)、風龍蜥的甲殼(1),防禦+130~+140 抗魔+16~+24 耐久350~+400,動物強固皮做的盔甲。,1900,/img/防具/野獸之鎧.gif
8,步兵戰衣,衣服,身體防具,鐵條(10)、幻之銀條(5)、棉(10)、絹布(10)、傑諾瓦線(5),防禦+89~+119 閃躲+5,步兵用，裡面加入板子的戰衣。,1800,/img/防具/步兵戰衣.gif
8,獸骨之衣+,衣服,身體防具,幻之鋼條(13)、絹布(15)、阿巴尼斯製的線(10)、魔法紅蘿蔔(20)、藍龍之鱗(20),防禦+88~+115 敏捷+10~+20 閃躲+5 耐久250~+350 生產系晉升任務Ⅲ,細又柔軟的軟骨編織而成的襯衫。,1750,/img/防具/骨衣.gif
8,疾風之衣,衣服,身體防具,地的水晶碎片(50)、水的水晶碎片(50)、火的水晶碎片(50)、風的水晶碎片(50)、傑諾瓦線(20),防禦+100~+112 命中+2 閃躲+5 稱號：幸運的人,加強閃躲能力的衣服。,1800,/img/防具/疾風之衣.gif
8,勇者之袍,長袍,身體防具,白金條(5)、幻之銀條(10)、棉(5)、絹布(5)、傑諾瓦線(5),防禦+51~+68 魔力+340~+425,據說是傳說中的魔法師穿的袍。,1800,/img/防具/勇者之袍.gif
8,死神之袍,長袍,身體防具,幻之銀條(10)、棉(5)、絹布(5)、傑諾瓦線(5)、神眼(1),防禦+48~+64 魔力+320~+400 各種狀態抵抗+4,有邪惡力量危險的袍。,1800,/img/防具/死神之袍.gif
8,潔淨之袍+,長袍,身體防具,幻之銀條(5)、阿巴尼斯製的線(10)、阿巴尼斯製的布(20)、魔法紅蘿蔔(20)、藍龍之鱗(20),防禦+45~+61 魔力+300~+400 回復+1~+5 耐久300~+350 生產系晉升任務Ⅲ,歷史悠久的袍。,1750,/img/防具/時之袍.gif
8,標準長靴+,靴子,足部防具,幻之銀條(10)、阿巴尼斯製的線(20)、阿巴尼斯製的布(5)、永久冰石(20)、藍龍之鱗(20),防禦+55~+75 閃躲+1~+3 抗魔+8~+24 耐久170~+220 生產系晉升任務Ⅲ,以水晶做的靴。,1450,/img/防具/水晶靴.gif
8,流水之靴,靴子,足部防具,鐵條(4)、純銀條(4)、幻之銀條(5)、莎蓮娜線(5),防禦+61~+81 抗魔+24~+40,受火之力量保護的靴。,1500,/img/防具/流水之靴.gif
8,芙蕾雅之靴,靴子,足部防具,幻之鋼條(10)、幻之銀條(5)、莎蓮娜線(5)、火焰之魂(1),防禦+30 必殺+4 反擊+4 抗魔+16,火屬性的靴。,1500,/img/防具/芙蕾雅之靴.gif
8,妖精鞋+,鞋子,足部防具,幻之銀條(3)、幻之鋼條(5)、阿巴尼斯製的線(17)、濕地毒蛇(10)、藍龍之鱗(20),防禦+18~+24 敏捷+34~+40 魅力+1~+3 耐久160~+210 生產系晉升任務Ⅲ,以精靈為主的鞋子。,1450,/img/防具/蜥蝪靴.gif
8,白金鞋,鞋子,足部防具,純銀條(5)、白金條(5)、幻之銀條(5)、傑諾瓦線(3),防禦+20~+26 敏捷+26~+32,以白金做的鞋子。,1500,/img/防具/白金鞋.gif
8,精緻高根鞋,鞋子,足部防具,幻之鋼條(10)、幻之銀條(10)、大炸彈的卡片(1),防禦+20~+26 敏捷-60 魔力+90,以魔力做的不可思議的鞋子。,1500,/img/防具/精緻高根鞋.gif
8,力量之盾,盾牌,手部防具,幻之銀條(20)、魔族的水晶(1),防禦+60 閃躲+8 抗魔+32~+40 耐久200,由強烈魔力所保護的盾牌。,1400,/img/防具/力量之盾.gif
8,鏡之盾,盾牌,手部防具,銀條(6)、純銀條(6)、幻之銀條(10),防禦+66~+88 閃躲-5 抗魔+80~+96,像鏡子般，什麼都照的漂亮的盾牌。,1400,/img/防具/鏡之盾.gif
8,防禦之盾+,盾牌,手部防具,幻之鋼條(9)、幻之銀條(10)、杉(20)、永久冰石(20)、藍龍之鱗(20),防禦+59~+79 攻擊+5~+20 抗魔+64~+80 耐久180~+230 生產系晉升任務Ⅲ,白銀做的盾牌。,1350,/img/防具/防守之盾.gif
9,羽毛頭盔,頭盔,頭部防具,幻之銀條(3)、勒格耐席鉧條(5)、朴(20)、杉(20)、莎蓮娜線(3),防禦+84~+105 抗魔+45~+63,為了王宮警衛做的頭盔。,2000,/img/防具/羽毛頭盔.gif
9,龍盔,頭盔,頭部防具,勒格耐席鉧條(8)、絲柏(20)、莎蓮娜線(4)、誓言之證(1)、鋼騎之礦(1),防禦+85 命中+3 抗魔+24~+36 護衛所需消耗魔力減少25%,古代勇者所戴的頭盔。,2400,/img/防具/龍盔.gif
9,羽毛帽,帽子,頭部防具,百里香(20)、茴香(20)、鹿皮(20)、莎蓮娜線(6)、傑諾瓦線(8),防禦+54~+67 命中+5,有羽毛裝飾的漂亮又輕量的帽子。,1800,/img/防具/羽毛帽.gif
9,魔術師之帽,帽子,頭部防具,瞿麥(20)、茴香(20)、毛氈(20)、傑諾瓦線(10)、魔族的水晶(2),防禦+5 命中+15,魔術士專用的不可思議帽子。,2200,/img/防具/魔術師之帽.gif
9,亡靈鎧甲,鎧甲,身體防具,鐵條(20)、幻之鋼條(10)、幻之銀條(10)、勒格耐席鉧條(12)、魔族的水晶(5),防禦+160 閃躲+10 抗毒化+3 抗睡眠+3 抗石化+3 抗魔+12,受魔族詛咒的鎧甲。,5200,/img/防具/亡靈鎧甲.gif
9,帝王之鎧,鎧甲,身體防具,幻之鋼條(10)、幻之銀條(10)、勒格耐席鉧條(10)、杉(20),防禦+160~+200 閃躲-10 抗魔+27~+36,統一世界的人曾用過的盔甲。,4300,/img/防具/帝王之鎧.gif
9,勇者之衣,衣服,身體防具,勒格耐席鉧條(1)、木棉布(10)、細線(10)、傑諾瓦線(5)、細麻布(10),防禦+116~+133 閃躲+5,據說是開啟者曾穿過的衣服。,3800,/img/防具/勇者之衣.gif
9,女神之衣,衣服,身體防具,絹布(10)、傑諾瓦線(10)、細麻布(15)、魔族的水晶(1)、誓言之證(1),防禦+95 命中+2 閃躲+15,據說女神曾穿過的聖衣。,5000,/img/防具/女神之衣.gif
9,聖袍,長袍,身體防具,勒格耐席鉧條(3)、細線(10)、細麻布(10)、魔族的水晶(1)、誓言之證(2),防禦-10 魔力+650,帶正面魔力的神聖袍。,3500,/img/防具/聖袍.gif
9,黑暗之袍,長袍,身體防具,勒格耐席鉧條(3)、毛氈(5)、絹布(5)、傑諾瓦線(5)、細麻布(8),防禦+61~+76 魔力+380~+475,帶負面魔力的袍。,3500,/img/防具/黑暗之袍.gif
9,鑽石長靴,靴子,足部防具,幻之銀條(10)、勒格耐席鉧條(5)、隕石(1)、鋼騎之礦(2),防禦+80 必殺+3 反擊+3 命中+2 抗魔+18,鑽石做的，結實靴。,2400,/img/防具/鑽石長靴.gif
9,鑽石靴,靴子,足部防具,白金條(5)、幻之鋼條(5)、勒格耐席鉧條(4)、傑諾瓦線(5),防禦+78~+91 抗魔+27~+45,鑽石做的，非常強固的靴。,2200,/img/防具/鑽石靴.gif
9,力量之鞋,鞋子,足部防具,勒格耐席鉧條(10)、莎蓮娜線(10)、鋼騎之礦(2)、隕石(1),防禦+23 敏捷+30 抗毒+3 抗睡+3 抗石+3,據說給給人力量的鞋子。,3100,/img/防具/力量之鞋.gif
9,神秘之鞋,鞋子,足部防具,幻之鋼條(5)、勒格耐席鉧條(4)、絹布(5)、細麻布(4),防禦+23~+29 敏捷+30~+38,由神秘的光圍繞的不可思議的鞋子。,2500,/img/防具/神秘之鞋.gif
9,漆黑之盾,盾牌,手部防具,純銀條(5)、幻之鋼條(5)、幻之銀條(5)、勒格耐席鉧條(5),防禦+84~+105 閃躲-5 抗魔+90~+108,隱藏黑暗魔力的盾牌。,2300,/img/防具/漆黑之盾.gif
9,火龍之盾,盾牌,手部防具,白金條(5)、勒格耐席鉧條(10)、鋼騎之礦(1)、魔族的水晶(3),防禦+60 魔力-50 命中+2 閃躲+10 抗魔+36~+45,用火龍的皮做的很強之盾牌。,2600,/img/防具/火龍之盾.gif
10,白金頭盔,頭盔,頭部防具,幻之銀條(3)、勒格耐席鉧條(5)、奧利哈鋼條(3)、絲柏(20)、莎蓮娜線(3),防禦+99~+116 抗魔+50~+70,白金做的頭盔。,3300,/img/防具/白金頭盔.gif
10,聖龍頭盔,頭盔,頭部防具,勒格耐席鉧條(5)、奧利哈鋼條(5)、梣(20)、鋼騎之礦(4)、魔族的水晶(4),防禦+130 抗魔+40~+60 必殺 -5,可使用古代神秘力量的頭盔。,4000,/img/防具/聖龍頭盔.gif
10,妖精之帽,帽子,頭部防具,七葉樹(20)、開米士毛線(5)、絹布(5)、蔓陀羅草的皮(5)、德特家的布(2),防禦+60 命中+5 閃躲+2 恢復魔法所需消耗魔力減少15%,有精靈力量的輕量帽子。,4000,/img/防具/妖精之帽.gif
10,黃昏之帽,帽子,頭部防具,七葉樹(20)、棉(5)、傑諾瓦線(5)、細麻布(7),防禦+63~+75 命中+5,受自然力量保護的帽子。,2900,/img/防具/黃昏之帽.gif
10,漆黑之鎧,鎧甲,身體防具,白金條(5)、幻之鋼條(5)、幻之銀條(10)、勒格耐席鉧條(10)、奧利哈鋼條(5),防禦+188~+221 閃躲-10 抗魔+70~+80,防禦力強大眾神之盔甲。,6200,/img/防具/漆黑之鎧.gif
10,騎士鎧甲,鎧甲,身體防具,金條(20)、勒格耐席鉧條(10)、奧利哈鋼條(10)、鋼騎之礦(5)、魔族的水晶(5),攻擊-15 防禦+240 閃躲-7 抗魔+50~+60,據說諸神曾穿過的盔甲。,7600,/img/防具/騎士鎧甲.gif
10,不死鳥之服,衣服,身體防具,奧利哈鋼條(1)、棉(10)、絹布(10)、傑諾瓦線(10)、開米士毛線(10),防禦+135~+147 閃躲+5 耐久350~+400,有自己回復能力的衣服。,7000,/img/防具/不死鳥之服.gif
10,靈魂之服,衣服,身體防具,絹布(20)、開米士毛線(15)、神眼(1)、妖草的血(1)、魔族的水晶(4),防禦+120 命中+2 閃躲+5 氣功彈所需消耗魔力減少10%,裡面有熱能的衣服。,7800,/img/防具/靈魂之服.gif
10,奇蹟之袍,長袍,身體防具,奧利哈鋼條(5)、細線(10)、細麻布(15)、神眼(1)、魔族的水晶(5),防禦+80 魔力+400 補血魔法(單體)所需消耗魔力減少25%,引發奇蹟力量的不可思議袍。,6000,/img/防具/奇蹟之袍.gif
10,靈魂之袍,長袍,身體防具,奧利哈鋼條(2)、棉(10)、絹布(10)、傑諾瓦線(10)、開士米毛線(5),防禦+71~+84 魔力+480~+525,裡面有熱誠的袍。,5200,/img/防具/靈魂之袍.gif
10,秘密之靴,靴子,足部防具,金條(5)、幻之鋼條(5)、奧利哈鋼條(5)、細麻布(5),防禦+85~+100 抗魔+40~+50,腳邊不起眼的裝飾品。,4000,/img/防具/秘密之靴.gif
10,龍之靴,靴子,足部防具,勒格耐席鉧條(5)、奧利哈鋼條(8)、鋼騎之礦(5)、誓言之證(1),防禦+85 敏捷+15 命中+3 閃躲+3 抗魔+15,以龍的鱗片完成的靴。,4800,/img/防具/龍之靴.gif
10,黃金鞋,鞋子,足部防具,幻之銀條(5)、奧利哈鋼條(5)、毛氈(5)、開米士毛線(5),防禦+27~+32 敏捷+36~+42,諸神做的鞋子。,5400,/img/防具/黃金鞋.gif
10,龍之鞋,鞋子,足部防具,奧利哈鋼條(10)、傑諾瓦線(10)、鋼騎之礦(3)、誓言之證(2),防禦+37~+42 敏捷+31~+37 閃躲+3,據說是專門作給神明穿的異國之鞋。,5800,/img/防具/龍之鞋.gif
10,勇者之盾,盾牌,手部防具,金條(10)、奧利哈鋼條(8)、魔族的水晶(5)、誓言之證(3),防禦+90 魔力+80 抗石化+20 抗魔+90 反擊所需消耗魔力減少25%,傳說中的開啟者之盾牌。,4200,/img/防具/勇者之盾.gif
10,黑暗之盾,盾牌,手部防具,幻之鋼條(5)、幻之銀條(5)、勒格耐席鉧條(5)、奧利哈鋼條(3),防禦+99~+116 閃躲-5 抗魔+115 聖盾所需消耗魔力減少25%,有負之力量的的渾沌之盾牌。,3500,/img/防具/黑暗之盾.gif
