編號,名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,卡片,封印,騎乘,出沒,一級出沒,入手方法,入手類型,image,來源
054,海蝙蝠,飛行系,18,29,27,30,11,7,115,地3水7,攻擊LV1、防禦LV1、陽炎LV1,4級普卡,○,○,海賊的洞窟、青龍的洞窟之地底湖、白之練兵場(黃)、將軍塚－墓室、司雲崖頂的司雲崖、司雲崖洞窟1000M~100M、司雲崖底,"地底湖地下2樓(42,60)、(44,60)；請參考「生產系階級提昇Ⅲ」任務","海賊的洞窟、青龍的洞窟之地底湖、白之練兵場(黃)、將軍塚－墓室、司雲崖頂的司雲崖、司雲崖洞窟1000M~100M、司雲崖底；地底湖地下2樓(42,60)、(44,60)；請參考「生產系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/海蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #054
055,胖蝙蝠,飛行系,25,24,20,26,20,7,115,火7風3,攻擊LV1、防禦LV1、混亂攻擊LV1,5級銀卡,○,○,通往阿巴尼斯的地下道、庫德洞窟、白之練兵場(黃),"通往阿巴尼斯的地下道(30,46)、(29,44)","通往阿巴尼斯的地下道、庫德洞窟、白之練兵場(黃)；通往阿巴尼斯的地下道(30,46)、(29,44)",捕捉,/img/原生寵物/胖蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #055
056,兔耳蝙蝠,飛行系,21,26,18,31,14,8,110,水5火5,攻擊LV1、防禦LV1,4級銀卡,○,○,莎蓮娜島蒂娜村周邊、封印之塔、白之練兵場(黃),"蒂娜村附近(481,255)","莎蓮娜島蒂娜村周邊、封印之塔、白之練兵場(黃)；蒂娜村附近(481,255)",捕捉,/img/原生寵物/兔耳蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #056
057,藍蠍,昆蟲系,20,27,47,13,8,7,115,水9火1,攻擊LV1、防禦LV1、昏睡攻擊LV1,5級銀卡,○,○,索奇亞島大沙漠,"索奇亞大沙漠加納村域(582,327)(562,367)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島大沙漠；索奇亞大沙漠加納村域(582,327)(562,367)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/藍蠍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #057
058,紅蠍,昆蟲系,19,28,42,19,7,7,115,火9風1,攻擊LV1、防禦LV1、昏睡攻擊LV1,4級普卡,○,○,索奇亞島鯰魚洞窟、司雲崖(78.5)、司雲崖100M~1000M(31.24),"鯰魚洞窟地下三樓(26,17)；請參考「鯰魚洞窟」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島鯰魚洞窟、司雲崖(78.5)、司雲崖100M~1000M(31.24)；鯰魚洞窟地下三樓(26,17)；請參考「鯰魚洞窟」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/紅蠍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #058
059,黃蠍,昆蟲系,20,30,43,12,10,7,115,地1風9,攻擊LV1、防禦LV1、石化攻擊LV1,5級銀卡,○,○,索奇亞島大沙漠、將軍塚－墓室,"索奇亞加納村域大沙漠裡(547,349)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島大沙漠、將軍塚－墓室；索奇亞加納村域大沙漠裡(547,349)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/黃蠍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #059
060,殺手蠍,昆蟲系,30,29,38,11,7,7,115,地9水1,攻擊LV1、防禦LV1、中毒攻擊LV1,4級普卡,○,○,索奇亞大沙漠的沙漠之祠,"沙漠之祠8樓小廟守護神前面(17,11)、(16,07)；請參考「砂漠之祠」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞大沙漠的沙漠之祠；沙漠之祠8樓小廟守護神前面(17,11)、(16,07)；請參考「砂漠之祠」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/殺手蠍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #060
061,殺人蜂,昆蟲系,12,37,12,37,12,8,110,地5風5,攻擊LV1、防禦LV1、吸血攻擊LV1,4級銀卡,○,○,米內葛爾島中部、花之山谷、海邊的山谷,"米內葛爾島的路霸阿德基姆身後(447,356)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","米內葛爾島中部、花之山谷、海邊的山谷；米內葛爾島的路霸阿德基姆身後(447,356)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/殺人蜂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #061
062,異型蜂,昆蟲系,14,33,11,35,17,8,110,火5風5,攻擊LV1、防禦LV1、戰慄襲心LV1,3級普卡,○,○,芙蕾雅島維諾亞鎮域、坎那貝拉村周圍、摩頓村西方的出口、種苗培育所、青蓮之路、蓮華之頂,"維諾亞鎮外(428,400)(471,395)(514,382)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","芙蕾雅島維諾亞鎮域、坎那貝拉村周圍、摩頓村西方的出口、種苗培育所、青蓮之路、蓮華之頂；維諾亞鎮外(428,400)(471,395)(514,382)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/異型蜂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #062
063,虎頭蜂,昆蟲系,13,40,8,38,11,8,110,地7風3,攻擊LV1、中毒攻擊LV1,4級銀卡,○,○,往烏克蘭的山路入口處、羽音洞窟、星詠的宮殿,"星詠的宮殿地下1F(77,137)；請參考「星詠的宮殿」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包、水曜之域；出河底隧道前往翠湖村路上(84.160)附近","往烏克蘭的山路入口處、羽音洞窟、星詠的宮殿；星詠的宮殿地下1F(77,137)；請參考「星詠的宮殿」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包、水曜之域；出河底隧道前往翠湖村路上(84.160)附近",捕捉,/img/原生寵物/虎頭蜂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #063
064,黃蜂,昆蟲系,10,38,13,43,6,8,110,火7風3,攻擊LV1、防禦LV1、混亂攻擊LV1,2級普卡,○,○,芙蕾雅島伊爾村近郊、風之洞窟、砂之弗利德島、絲米蕃茄園,"伊爾村近郊(649,265)、(668,310)、(690,286)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","芙蕾雅島伊爾村近郊、風之洞窟、砂之弗利德島、絲米蕃茄園；伊爾村近郊(649,265)、(668,310)、(690,286)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/黃蜂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #064
065,死亡蜂,昆蟲系,7,39,15,41,8,8,110,水7火3,攻擊LV1、中毒攻擊LV1,4級銀卡,○,○,莎蓮娜島傑諾瓦鎮外、德特威島東北,"傑諾瓦鎮後門出村往東過橋左轉(284,372)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","莎蓮娜島傑諾瓦鎮外、德特威島東北；傑諾瓦鎮後門出村往東過橋左轉(284,372)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/死亡蜂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #065
066,螳螂,昆蟲系,16,44,22,27,11,6,120,地6風4,攻擊LV1、防禦LV1、連擊LV1,5級普卡,○,○,索奇亞島奇利村外巫師馮奴的家附近、橘園,"索奇亞島馮奴的家附近(292,214)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島奇利村外巫師馮奴的家附近、橘園；索奇亞島馮奴的家附近(292,214)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/螳螂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #066
067,殺人螳螂,昆蟲系,12,45,20,26,17,6,120,水4火6,攻擊LV1、防禦LV1、諸刃LV1,6級銀卡,○,○,亞諾曼城東北、米內葛爾島布朗山、魯多特盆地,"亞諾曼城東北(297,243)；請參考「一級點傳送卷」傳送情報、魯多特盆地(248,134)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","亞諾曼城東北、米內葛爾島布朗山、魯多特盆地；亞諾曼城東北(297,243)；請參考「一級點傳送卷」傳送情報、魯多特盆地(248,134)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/殺人螳螂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #067
068,赤目螳螂,昆蟲系,14,44,19,29,14,6,120,火4風6,攻擊LV1、陽炎LV1、戰慄襲心LV1,6級銀卡,○,○,索奇亞島角笛大風穴、亞諾曼城南門外、庫魯克斯島米諾基亞村至火山路上、艾爾卡斯之家、番茄溫室,"角笛大風穴加納側出口樓梯附近(126,33)(131,29)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島角笛大風穴、亞諾曼城南門外、庫魯克斯島米諾基亞村至火山路上、艾爾卡斯之家、番茄溫室；角笛大風穴加納側出口樓梯附近(126,33)(131,29)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/赤目螳螂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #068
069,死灰螳螂,昆蟲系,15,40,17,33,15,6,120,水5火5,攻擊LV1、防禦LV1、反擊LV1,6級銀卡,○,○,莎蓮娜島蒂娜村域,"蒂娜村外(454,328)、(457,329)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","莎蓮娜島蒂娜村域；蒂娜村外(454,328)、(457,329)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/死灰螳螂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #069
070,致命螳螂,昆蟲系,20,43,18,27,12,6,120,地4水6,攻擊LV1、防禦LV1、吸血攻擊LV1,5級普卡,○,○,芙蕾雅島烏克蘭井底之道,"烏克蘭井底通路上層(44,4)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","芙蕾雅島烏克蘭井底之道；烏克蘭井底通路上層(44,4)；請參考「一級點傳送卷」傳送情報、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/致命螳螂.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #070
071,土蜘蛛,昆蟲系,26,15,18,23,23,9,105,地10,攻擊LV1、防禦LV1,2級普卡,○,○,芙蕾雅島聖拉魯卡村倉庫、牛鬼的洞窟、索奇亞島流星山丘、艾莉的家,牛鬼洞窟頂層打完鬼犬後隨機出現；請參考「牛鬼討伐」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包,芙蕾雅島聖拉魯卡村倉庫、牛鬼的洞窟、索奇亞島流星山丘、艾莉的家；牛鬼洞窟頂層打完鬼犬後隨機出現；請參考「牛鬼討伐」任務、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包,捕捉,/img/原生寵物/土蜘蛛.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #071
072,水蜘蛛,昆蟲系,24,16,17,20,28,9,105,水10,攻擊LV1、防禦LV1、單冰LV1,3級銀卡,○,○,索奇亞島角笛大風穴,"角笛大風穴(9,31)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島角笛大風穴；角笛大風穴(9,31)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/水蜘蛛.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #072
073,火蜘蛛,昆蟲系,22,22,16,25,20,9,105,火10,攻擊LV1、防禦LV1、昏睡攻擊LV1,2級普卡,○,○,黑暗醫生躲藏的家、哈巴魯東邊洞窟、試練之洞、流星山丘、將軍塚－墓室,試煉之洞窟3-5F全域、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包,黑暗醫生躲藏的家、哈巴魯東邊洞窟、試練之洞、流星山丘、將軍塚－墓室；試煉之洞窟3-5F全域、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包,捕捉,/img/原生寵物/火蜘蛛.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #073
074,風蜘蛛,昆蟲系,25,28,15,19,18,9,105,風10,攻擊LV1、中毒攻擊LV1,3級銀卡,○,○,索奇亞島沙塵之洞、風之洞窟、芙蕾雅島迷路之穴、雪拉威森塔、哈那可半島、種苗培育所,"雪拉威森塔65F(72,111)、哈那可半島(55,197)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包","索奇亞島沙塵之洞、風之洞窟、芙蕾雅島迷路之穴、雪拉威森塔、哈那可半島、種苗培育所；雪拉威森塔65F(72,111)、哈那可半島(55,197)、左鍵雙擊「水無月之袋」，隨機取得「神秘的蟲卵」購買「浪人の戀」產品包",捕捉,/img/原生寵物/風蜘蛛.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #074
075,樹精,植物系,32,17,32,12,17,8,110,水4火6,攻擊LV1、防禦LV1,2級普卡,○,○,法蘭城往伊爾村的橋附近、米內葛爾島坎那貝拉村域、德威特島南門外、殷紅的山谷、彩葉原,"法蘭城通往伊爾村的路上(561,211)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","法蘭城往伊爾村的橋附近、米內葛爾島坎那貝拉村域、德威特島南門外、殷紅的山谷、彩葉原；法蘭城通往伊爾村的路上(561,211)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/樹精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #075
076,死亡樹精,植物系,28,20,37,9,16,8,110,地6水4,攻擊LV1、防禦LV1,4級銀卡,○,○,莎蓮娜島傑諾瓦鎮東門出去往蒂娜村路上、火炎弗利德島、日曜之城、朝日山,"傑諾瓦鎮東門出去往蒂娜村路上(361,339)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","莎蓮娜島傑諾瓦鎮東門出去往蒂娜村路上、火炎弗利德島、日曜之城、朝日山；傑諾瓦鎮東門出去往蒂娜村路上(361,339)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/死亡樹精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #076
077,黃金樹精,植物系,38,22,28,10,17,8,115,地4風6,攻擊LV1、防禦LV1,7級金卡,○,○,蓮華之頂、紅蓮之路,"以LV20(含以上)快枯死的樹精到索奇亞島""飼養師寄宿所""換取、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","蓮華之頂、紅蓮之路；以LV20(含以上)快枯死的樹精到索奇亞島""飼養師寄宿所""換取、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/黃金樹精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #077
078,慘白樹精,植物系,29,16,28,17,20,8,110,火3風7,攻擊LV1、防禦LV1,4級銀卡,○,○,莎蓮娜島傑諾瓦鎮至蒂娜村域、戴克斯特山脈、弗利德島,"蒂娜村外(559,246)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","莎蓮娜島傑諾瓦鎮至蒂娜村域、戴克斯特山脈、弗利德島；蒂娜村外(559,246)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/慘白樹精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #078
079,冰冷樹精,植物系,30,15,27,16,22,8,110,水7火3,攻擊LV1、防禦LV1,3級普卡,○,○,芙蕾雅島亞留特村域、奴克冰原、史萊姆的臨時住所、魔法大學,亞留特村周邊到處可以遇到、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包,芙蕾雅島亞留特村域、奴克冰原、史萊姆的臨時住所、魔法大學；亞留特村周邊到處可以遇到、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包,捕捉,/img/原生寵物/冰冷樹精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #079
080,沼澤樹精,植物系,31,14,29,15,21,8,110,地7水3,攻擊LV1、防禦LV1,4級銀卡,○,○,米內葛爾島阿凱魯法村域、雲霧之湖,"米內葛爾島(171,385)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","米內葛爾島阿凱魯法村域、雲霧之湖；米內葛爾島(171,385)、完成「夜空飛行」任務隨機取得、完成「水晶花(巨花物語3)」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/沼澤樹精.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #080
081,妖草,植物系,26,11,16,16,36,9,105,地8水2,攻擊LV1、防禦LV1,2級普卡,○,○,芙蕾雅島維諾亞鎮域、土之洞窟、米內葛爾島中部,"維諾亞鎮附近(471,395)、(422,357)、(490,392)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","芙蕾雅島維諾亞鎮域、土之洞窟、米內葛爾島中部；維諾亞鎮附近(471,395)、(422,357)、(490,392)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/妖草.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #081
082,蔓陀羅草,植物系,25,13,14,15,38,9,105,地5風5,攻擊LV1、防禦LV1,3級銀卡,○,○,莎蓮娜島傑諾瓦鎮域、米內葛爾島布朗山、烏克蘭、將軍塚,"傑諾瓦鎮附近(281,489)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","莎蓮娜島傑諾瓦鎮域、米內葛爾島布朗山、烏克蘭、將軍塚；傑諾瓦鎮附近(281,489)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/蔓陀羅草.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #082
083,妖花,植物系,27,12,12,19,35,9,105,火5風5,攻擊LV1、防禦LV1,2級普卡,○,○,砂之弗利德島、將軍塚、種苗培育所,完成「再生花園」任務取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包,砂之弗利德島、將軍塚、種苗培育所；完成「再生花園」任務取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包,捕捉,/img/原生寵物/妖花.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #083
084,人魔草,植物系,22,17,11,14,41,9,105,水8火2,攻擊LV1、防禦LV1,3級銀卡,○,○,傑諾瓦鎮域的阿斯提亞參道、鬼掌密林、白迷宮、將軍塚、大地鼠農場,"完成「彩葉草之戀」任務隨機取得、白迷宮4樓(43,106)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","傑諾瓦鎮域的阿斯提亞參道、鬼掌密林、白迷宮、將軍塚、大地鼠農場；完成「彩葉草之戀」任務隨機取得、白迷宮4樓(43,106)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/人魔草.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #084
085,綠色口臭鬼,植物系,38,23,16,15,23,7,115,地9風1,攻擊LV1、防禦LV1,4級普卡,○,○,莎蓮娜海底洞窟、米內葛爾島中部、將軍塚－墓室、雲煙山嶺,"完成「南國巨花(巨花物語1)」任務隨機取得、莎蓮娜海底洞穴聖拉魯卡村側一樓(9,12)、浮空島(131,42)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","莎蓮娜海底洞窟、米內葛爾島中部、將軍塚－墓室、雲煙山嶺；完成「南國巨花(巨花物語1)」任務隨機取得、莎蓮娜海底洞穴聖拉魯卡村側一樓(9,12)、浮空島(131,42)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/綠色口臭鬼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #085
086,黃色口臭鬼,植物系,37,27,18,11,22,7,115,地1風9,攻擊LV1、防禦LV1,4級普卡,○,○,芙蕾雅島維諾亞鎮域、阿凱魯法村附近、將軍塚,"完成「南國巨花(巨花物語1)」任務隨機取得、維諾亞村附近(408,561)、(346,514)、完成「向陽的花谷」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","芙蕾雅島維諾亞鎮域、阿凱魯法村附近、將軍塚；完成「南國巨花(巨花物語1)」任務隨機取得、維諾亞村附近(408,561)、(346,514)、完成「向陽的花谷」任務隨機取得、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/黃色口臭鬼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #086
087,藍色口臭鬼,植物系,35,25,15,18,27,7,120,水9火1,攻擊LV1、防禦LV1,5級銀卡,○,○,索奇亞島加納村域鯰魚大王的身體裡、亞諾曼城周邊、米內葛爾島中部,"完成「南國巨花(巨花物語1)」任務隨機取得、鯰魚大王的胃(59,41)；請參考「鯰魚洞窟」任務、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","索奇亞島加納村域鯰魚大王的身體裡、亞諾曼城周邊、米內葛爾島中部；完成「南國巨花(巨花物語1)」任務隨機取得、鯰魚大王的胃(59,41)；請參考「鯰魚洞窟」任務、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/藍色口臭鬼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #087
088,紅色口臭鬼,植物系,44,21,14,12,29,7,120,水1火9,攻擊LV1、防禦LV1,5級銀卡,○,○,德威特島尼維爾海村域、大樹、將軍塚,"完成「南國巨花(巨花物語1)」任務隨機取得、尼維爾海村附近(460,350)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","德威特島尼維爾海村域、大樹、將軍塚；完成「南國巨花(巨花物語1)」任務隨機取得、尼維爾海村附近(460,350)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/紅色口臭鬼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #088
089,凶暴仙人掌,植物系,27,29,22,12,20,8,110,地5風5,攻擊LV1、防禦LV1,3級普卡,○,○,莎蓮娜島阿巴尼斯村域詛咒的迷宮41~50樓,"完成「夕豔之花(巨花物語2)」任務隨機取得、詛咒的迷宮地下41樓(10,20)；請參考「戰鬥系階級提昇Ⅲ」任務、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","莎蓮娜島阿巴尼斯村域詛咒的迷宮41~50樓；完成「夕豔之花(巨花物語2)」任務隨機取得、詛咒的迷宮地下41樓(10,20)；請參考「戰鬥系階級提昇Ⅲ」任務、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/凶暴仙人掌.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #089
090,武術仙人掌,植物系,24,32,27,10,17,8,110,地5水5,攻擊LV1、防禦LV1,4級銀卡,○,○,索奇亞島大沙漠,"完成「夕豔之花(巨花物語2)」任務隨機取得、索奇亞島大沙漠(552,400)、(562,367)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","索奇亞島大沙漠；完成「夕豔之花(巨花物語2)」任務隨機取得、索奇亞島大沙漠(552,400)、(562,367)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/武術仙人掌.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #090
091,兔耳仙人掌,植物系,28,35,19,14,14,8,110,火5風5,攻擊LV1、防禦LV1,4級銀卡,○,○,索奇亞島大沙漠,"完成「夕豔之花(巨花物語2)」任務隨機取得、索奇亞島大沙漠(627,302)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包","索奇亞島大沙漠；完成「夕豔之花(巨花物語2)」任務隨機取得、索奇亞島大沙漠(627,302)、左鍵雙擊「水無月之袋」，隨機取得「神奇小花苗」；購買「浪人の戀」產品包",捕捉,/img/原生寵物/兔耳仙人掌.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #091
